arch,lam_mono,lam_zuber,lr,n_collocation,r2_mean,r2_std,r2_min,r2_max,mape_mean
16x8,0.0,0.3,0.001,256,0.46966019469329723,0.11633088372295768,0.3598152531555261,0.6880075585913237,41.489041841273504
16x8,0.1,0.3,0.001,256,0.4686934452192918,0.11339137109964827,0.3601101705361385,0.6801403213598775,41.54725848039865
16x8,0.1,0.3,0.001,512,0.4661744677762509,0.13701399646347362,0.3138387845983599,0.7159835560948745,42.025387122668874
16x16x8,0.3,0.1,0.0005,512,0.4657758130737279,0.2175399028459679,0.16337894341817272,0.7560173051686945,42.944220693428825
16x8,0.3,0.3,0.001,256,0.4654952817188008,0.09948983777769509,0.36995661073484787,0.647902990274509,41.880478320773
16x16x8,0.5,0.1,0.0005,512,0.46517398563686757,0.21950576226845725,0.16111103403153482,0.7614897355733081,42.51612893306026
8x8,0.5,0.3,0.001,256,0.4651217181770223,0.1294125990473854,0.24778363629285927,0.6483521521208044,44.46636380908383
16x8,0.0,0.3,0.001,512,0.46497642363624925,0.1362038625372518,0.3115205934428348,0.7128022907595475,42.0730477472393
16x8,0.0,0.1,0.0005,256,0.46384955459476496,0.06578473091864183,0.3980018715389627,0.5478378144437377,41.3803391422458
16x16x8,0.3,0.1,0.0005,256,0.46307724515957344,0.21579325954357245,0.15218248661932487,0.7628523294290379,42.74829046229519
8x8,0.1,0.3,0.001,512,0.46267736499290457,0.15061329274991758,0.20163884266701526,0.6633350022519378,44.063281945891006
16x16x8,0.5,0.1,0.0005,256,0.4623632221383735,0.21461519289573455,0.14861406361899543,0.7519120983886938,42.52341289962654
16x8,0.5,0.3,0.001,256,0.45958276405760473,0.09200272629820769,0.3853980541394274,0.6355091648455902,42.10569313810539
16x8,0.0,0.3,0.0005,256,0.45472749938630913,0.11664773973122157,0.2664735366473966,0.632357517142382,39.838556845467096
8x8,0.3,0.3,0.001,256,0.45278822264237206,0.1276600349565604,0.24778363629285927,0.6479761928061047,44.54116547209766
8x8,0.5,0.3,0.0005,512,0.4512925368784705,0.10782329247263783,0.36821330656788887,0.6630080891167849,42.93114464510755
8x8,0.3,0.3,0.0005,256,0.4490218724164093,0.1159092124467829,0.3159703689936175,0.6634353548775398,42.667652627896345
16x16x8,0.1,0.1,0.0005,512,0.44776831670755807,0.2152272387966772,0.16402998423996928,0.7540324928934823,43.48199337928457
8x8,0.0,0.1,0.0005,256,0.44771762138076115,0.2347842030104458,-0.004489861518912619,0.6497052521040958,43.13425721071331
16x8,0.3,0.3,0.001,512,0.44744751864518495,0.10149582639326417,0.31712420415151643,0.6158592972994088,42.91167429263693
16x8,0.5,0.3,0.001,512,0.4465553850908477,0.0978175595995681,0.3191743781345894,0.6071016078217443,42.98780314713971
8x8,0.1,0.1,0.0005,256,0.4450261662907133,0.2302890948425327,0.005124149780389553,0.6497052521040958,43.08824640569328
8x8,0.0,0.1,0.0005,512,0.44327753234644574,0.2332322697392365,-0.0066005090883094475,0.637755489531231,43.25129594547382
8x8,0.3,0.1,0.0005,256,0.44219803099279237,0.22224144332564125,0.02317228741437105,0.6497052521040958,42.97516817413847
16x8,0.1,0.3,0.0005,256,0.44181416214746694,0.11591882819576275,0.2647887014255068,0.6298482727396126,40.441959815988646
16x8,0.3,0.3,0.0005,256,0.4415000572638563,0.11549980553981534,0.2611966915192919,0.6249260392837028,40.431445841715565
8x8,0.5,0.3,0.001,512,0.4412377598325891,0.1537673185429385,0.20163884266701526,0.6630609343990743,44.69195520681715
16x8,0.5,0.3,0.0005,256,0.44067278501083484,0.11453206504508272,0.2574180578282761,0.6177127498078563,40.42316784092638
8x8,0.1,0.1,0.0005,512,0.44047792274848563,0.22759281596369152,0.005724391021428077,0.637755489531231,43.21355514024557
