Fin Shape,Fin Array,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)",Roughness Factor,Surface Material,Fluid,CHF(kW/m2),Source
Square,Hexagonal,35,30,120,30,1,0.711,73.923,60.767,5.619,Silicon (N-type),FC-72,597.1,
Square,Hexagonal,15,30,120,15,1,0.487,28.457,25.367,9.211,Silicon (N-type),FC-72,378,
Square,Hexagonal,25,30,120,15,1,0.487,28.457,25.367,9.211,Silicon (N-type),FC-72,460.9,
Square,Hexagonal,35,30,120,15,1,0.487,28.457,25.367,9.211,Silicon (N-type),FC-72,516.2,
Square,Square,25,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,459.9,
Square,Square,15,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,381.6,
Square,Square,25,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,480.2,
Square,Square,45,30,60,30,0.78,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,571.3,
Square,Square,3,30,120,30,1,0.750,90.000,72.000,5.000,Silicon (N-type),FC-72,302,
Square,Square,3,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,306,
Square,Square,45,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,630,
Square,Square,0,20,60,20,1,0.750,60.000,45.000,4.000,Silicon (N-type),FC-72,245,
Square,Square,25,20,60,20,1,0.750,60.000,45.000,4.000,Silicon (N-type),FC-72,430,
Square,Square,45,20,60,20,1,0.750,60.000,45.000,4.000,Silicon (N-type),FC-72,615,
Square,Square,3,50,200,50,1,0.750,150.000,120.000,5.000,Silicon (N-type),FC-72,322,
Square,Square,3,50,270,50,1,0.750,150.000,126.563,6.400,Silicon (N-type),FC-72,362,
Square,Square,0,10,60,10,1,0.750,30.000,25.714,7.000,Silicon (N-type),FC-72,263,
Square,Square,3,10,60,10,1,0.750,30.000,25.714,7.000,Silicon (N-type),FC-72,286,
Square,Square,25,10,60,10,1,0.750,30.000,25.714,7.000,Silicon (N-type),FC-72,450,
Square,Square,45,10,60,10,1,0.750,30.000,25.714,7.000,Silicon (N-type),FC-72,640,
Square,Square,3,30,200,30,1,0.750,90.000,78.261,7.667,Silicon (N-type),FC-72,308,
N/A,N/A,0,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,160.7,"Honda et al. 2002
https://doi.org/10.1115/1.1447937"
N/A,N/A,3,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,163.8,
N/A,N/A,25,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,221.4,
N/A,N/A,45,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,309.7,
Square,Square,0,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,288.8,
Square,Square,3,50,60,50,1,0.750,150.000,81.818,2.200,Silicon (N-type),FC-72,306,
