P_kPa,G_kg_m2s,X,D_mm,CHF_kW_m2,Angle_deg,Orientation,P_reduced,rho_l_kg_m3,rho_g_kg_m3,density_ratio
99.83999999999999,0.0,-0.012386083665093982,1.5915494309189535,2003.2121205738829,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.00445042885172677,1.5915494309189535,1873.7023827493529,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.00802414165206425,1.5915494309189535,2652.0310066035267,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005267245295216855,3.183098861837907,1626.9993172855072,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.009980079794514745,3.183098861837907,1452.2490167666688,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.007288100117190888,1.5915494309189535,1048.995409678541,180.0,down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.004977359018160282,1.5915494309189535,1265.9610872128717,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005261146774267562,1.5915494309189535,1216.4605624834444,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005147259412969215,3.183098861837907,1204.8757170405108,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005212348113607784,3.183098861837907,1312.2846704561653,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0018271511628304598,1.5915494309189535,1529.2098128582795,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005000050012164593,1.5915494309189535,1234.4058226607924,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0004211546048878002,3.183098861837907,1504.2391857333096,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005586754730920307,3.183098861837907,887.0745231779287,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005747909107325583,1.5915494309189535,989.5198138805907,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0013296295929157646,1.5915494309189535,1117.7037878976362,0.0,Up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.00011431014782267326,3.183098861837907,1193.1391409193839,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12493622720088882,3.183098861837907,4545.360447579374,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0079917609943482,1.5915494309189535,1046.7400662296855,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0028677750118192426,3.183098861837907,983.4533434610419,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.01352065442862666,1.5915494309189535,923.2794233734871,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0032304733434996022,3.183098861837907,866.9349580236903,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.012165213125178105,1.5915494309189535,986.3944408979722,0.0,Up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.0035496088258679913,3.183098861837907,923.7925794219527,0.0,Up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
