split_tag,model,n_test,R2,RMSE,MAE,MAPE_pct,train_seconds,gpr_train_rows_used,n_test_with_tier1_correction,tier1_families_fitted,held_out_source
strategy4_fold=kaeri_uniform,GPR,651,0.8812562147507915,507.1398297717509,354.2684566863266,20.515425637355893,0.9862570762634277,800.0,,,kaeri_uniform
strategy4_fold=kaeri_uniform,Proposed_Hierarchy,651,0.812850945959194,636.6725036866231,424.3717778700319,18.32000429803296,2.674849033355713,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling",kaeri_uniform
strategy4_fold=mentor_master,ANN,55,-57.15130904797398,11653.279859775836,9445.500742709693,670.2674483109545,8.052525043487549,,,,mentor_master
strategy4_fold=mentor_master,RandomForest,55,-0.6798667938297704,1980.6413942035413,1438.8054584735219,43.93163429331919,11.734813928604126,,,,mentor_master
strategy4_fold=mentor_master,HistGB,55,0.026540649710094177,1507.7430632793719,1136.5917835263303,41.853990929686674,2.1529579162597656,,,,mentor_master
strategy4_fold=mentor_master,PINN,55,-167.5471070522579,19839.424952204336,15410.911994649332,534.4120705799976,14.628748893737793,,,,mentor_master
strategy4_fold=mentor_master,GPR,55,-2.9453800360099986,3035.378474095295,2622.6425200106796,99.95093097734345,0.9855070114135742,800.0,,,mentor_master
strategy4_fold=mentor_master,Proposed_Hierarchy,55,0.026540649710094177,1507.7430632793719,1136.5917835263303,41.853990929686674,2.66325306892395,,0.0,"pin_fin_pool_boiling,helical_coil",mentor_master
strategy4_fold=nrc_groeneveld_24579pt,ANN,24579,0.7842218322879377,739.3390556365822,503.6379545043362,31.899406750379118,1.8341889381408691,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,RandomForest,24579,0.11010694373583807,1501.442852938355,548.0923629631686,74.8087039910215,1.2873749732971191,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,HistGB,24579,0.806401798346313,700.3103700940277,488.5959226368658,32.59009373845517,1.3470189571380615,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,PINN,24579,0.4793402363959094,1148.4627310293024,673.6115934306214,38.75120290478718,2.4412930011749268,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,GPR,24579,0.5504516275623501,1067.1564970691363,687.4855793595983,74.65562041271141,0.938676118850708,800.0,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,Proposed_Hierarchy,24579,0.806401798346313,700.3103700940277,488.5959226368658,32.59009373845517,1.655479907989502,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling",nrc_groeneveld_24579pt
strategy4_fold=pinfin_chf_water_fc72,ANN,175,-592.5402397012126,11058.092695990099,5171.697920136201,600.224289694197,13.103049993515015,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,RandomForest,175,-0.18591389394123925,494.2898822659561,451.59277529997536,90.42857577891917,11.263384103775024,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,HistGB,175,-0.036009847833746056,461.994796517457,426.11159632308414,89.58281013195605,1.8070521354675293,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,PINN,175,-1.0705965812050464,653.1348967618524,501.97016472348776,79.9421037235765,14.142762899398804,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,GPR,175,-1.69411312967729,745.0116370881409,590.9810505057544,99.99045881144714,0.9235830307006836,800.0,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,Proposed_Hierarchy,175,-0.036009847833746056,461.994796517457,426.11159632308414,89.58281013195605,2.10099196434021,,0.0,"helical_coil,flat_heater_pool_boiling",pinfin_chf_water_fc72
strategy4_fold=zhao2020,ANN,1865,-32.20697292320925,11438.677810806797,5746.396617143981,214.28505307918263,9.034363985061646,,,,zhao2020
strategy4_fold=zhao2020,RandomForest,1865,0.7022321038374424,1083.178721105645,712.0325250721312,17.986147595505415,10.947864770889282,,,,zhao2020
strategy4_fold=zhao2020,HistGB,1865,0.6466162852632182,1180.0066352318102,697.4098393108387,17.700633719643374,2.2642760276794434,,,,zhao2020
strategy4_fold=zhao2020,PINN,1865,-40.53146469904323,12792.334510859122,6609.998777169767,249.8842357313629,15.361777782440186,,,,zhao2020
strategy4_fold=zhao2020,GPR,1865,0.2308114312591958,1740.915108062317,1130.2844264888518,28.064132631125567,0.7666287422180176,800.0,,,zhao2020
strategy4_fold=zhao2020,Proposed_Hierarchy,1865,0.6466162852632182,1180.0066352318102,697.4098393108387,17.700633719643374,2.6953442096710205,,0.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling",zhao2020
strategy4_pooled_oof,ANN,28470,-5.149623510060255,4277.376232012751,1204.258688232708,234.4777126255079,,,,,
strategy4_pooled_oof,RandomForest,28470,0.2692470017691604,1474.4786573253555,583.2410900639114,70.36107035248011,,,,,
strategy4_pooled_oof,HistGB,28470,0.7841268181766501,801.4058975257793,532.5777677434476,34.15671487439487,,,,,
strategy4_pooled_oof,PINN,28470,-6.022442432505562,4570.853284768589,1394.7127398255973,238.9585488967588,,,,,
strategy4_pooled_oof,GPR,28470,0.5385952726208205,1171.6400470523786,736.4176755824429,71.27833034938358,,,,,
strategy4_pooled_oof,Proposed_Hierarchy,28470,0.7841268181766501,801.4058975257793,532.5777677434476,34.15671487439487,,,,,
