P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,1500.0,0.9,51.0,49.0,49.0
100.0,2000.0,-0.5,25268.0,25267.0,25267.0
100.0,2000.0,-0.4,21321.0,21221.0,21221.0
100.0,2000.0,-0.3,17143.0,17143.0,17143.0
100.0,2000.0,-0.2,9141.0,9941.0,9941.0
100.0,2000.0,-0.15,7059.0,8048.0,8048.0
100.0,2000.0,-0.1,6036.0,6271.0,6271.0
100.0,2000.0,-0.05,4074.0,4667.0,4667.0
100.0,2000.0,0.0,3855.0,3907.0,3907.0
100.0,2000.0,0.05,3556.0,3303.0,3303.0
100.0,2000.0,0.1,3402.0,3208.0,3208.0
100.0,2000.0,0.15,3167.0,3127.0,3127.0
100.0,2000.0,0.2,2986.0,2886.0,2886.0
100.0,2000.0,0.25,2720.0,2619.0,2619.0
100.0,2000.0,0.3,2549.0,2549.0,2549.0
100.0,2000.0,0.35,1696.0,1756.0,1756.0
100.0,2000.0,0.4,1105.0,1101.0,1101.0
100.0,2000.0,0.45,805.0,812.0,812.0
100.0,2000.0,0.5,595.0,595.0,595.0
100.0,2000.0,0.6,247.0,248.0,248.0
100.0,2000.0,0.7,105.0,104.0,104.0
100.0,2000.0,0.8,87.0,87.0,87.0
100.0,2000.0,0.9,39.0,39.0,39.0
100.0,2500.0,-0.5,28026.0,27326.0,27326.0
100.0,2500.0,-0.4,23599.0,23599.0,23599.0
100.0,2500.0,-0.3,18346.0,18945.0,18945.0
100.0,2500.0,-0.2,9503.0,10203.0,10203.0
100.0,2500.0,-0.15,7506.0,8365.0,8365.0
100.0,2500.0,-0.1,6516.0,6593.0,6593.0
100.0,2500.0,-0.05,4502.0,4503.0,4503.0
100.0,2500.0,0.0,4047.0,3887.0,3887.0
100.0,2500.0,0.05,3852.0,3467.0,3467.0
100.0,2500.0,0.1,3599.0,3499.0,3499.0
100.0,2500.0,0.15,3228.0,3129.0,3129.0
100.0,2500.0,0.2,3019.0,3018.0,3018.0
100.0,2500.0,0.25,2676.0,2675.0,2675.0
100.0,2500.0,0.3,2458.0,2395.0,2395.0
100.0,2500.0,0.35,1148.0,1160.0,1160.0
100.0,2500.0,0.4,956.0,953.0,953.0
100.0,2500.0,0.45,708.0,684.0,684.0
100.0,2500.0,0.5,485.0,484.0,484.0
100.0,2500.0,0.6,290.0,288.0,288.0
100.0,2500.0,0.7,120.0,119.0,119.0
100.0,2500.0,0.8,46.0,46.0,46.0
100.0,2500.0,0.9,22.0,22.0,22.0
100.0,3000.0,-0.5,30294.0,28873.0,28873.0
100.0,3000.0,-0.4,25465.0,25464.0,25464.0
100.0,3000.0,-0.3,19383.0,19783.0,19783.0
100.0,3000.0,-0.2,9779.0,10678.0,10678.0
100.0,3000.0,-0.15,8063.0,8462.0,8462.0
100.0,3000.0,-0.1,7088.0,6752.0,6752.0
100.0,3000.0,-0.05,4826.0,4458.0,4458.0
100.0,3000.0,0.0,4182.0,3934.0,3934.0
100.0,3000.0,0.05,3976.0,3567.0,3567.0
100.0,3000.0,0.1,3389.0,3049.0,3049.0
100.0,3000.0,0.15,2968.0,2474.0,2474.0
100.0,3000.0,0.2,2706.0,2738.0,2738.0
100.0,3000.0,0.25,2369.0,2285.0,2285.0
100.0,3000.0,0.3,1829.0,1831.0,1831.0
100.0,3000.0,0.35,940.0,942.0,942.0
100.0,3000.0,0.4,846.0,842.0,842.0
100.0,3000.0,0.45,665.0,664.0,664.0
100.0,3000.0,0.5,532.0,508.0,508.0
100.0,3000.0,0.6,302.0,302.0,302.0
100.0,3000.0,0.7,159.0,159.0,159.0
100.0,3000.0,0.8,55.0,54.0,54.0
100.0,3000.0,0.9,20.0,20.0,20.0
100.0,3500.0,-0.5,32227.0,30260.0,30260.0
100.0,3500.0,-0.4,27043.0,27042.0,27042.0
100.0,3500.0,-0.3,21068.0,21668.0,21668.0
100.0,3500.0,-0.2,10156.0,10755.0,10755.0
100.0,3500.0,-0.15,8518.0,8578.0,8578.0
100.0,3500.0,-0.1,7302.0,7016.0,7016.0
100.0,3500.0,-0.05,5113.0,4801.0,4801.0
100.0,3500.0,0.0,4384.0,3978.0,3978.0
