study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Zhang et al. 2018,430.0,4.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,20.0,60.0,20.0,1.0,0.75,60.0,45.0
Zhang et al. 2018,615.0,4.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,20.0,60.0,20.0,1.0,0.75,60.0,45.0
Zhang et al. 2018,322.0,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,50.0,200.0,50.0,1.0,0.75,150.0,120.0
Zhang et al. 2018,362.0,6.4,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,50.0,270.0,50.0,1.0,0.75,150.0,126.563
Zhang et al. 2018,263.0,7.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,10.0,60.0,10.0,1.0,0.75,30.0,25.714
Zhang et al. 2018,286.0,7.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,10.0,60.0,10.0,1.0,0.75,30.0,25.714
Zhang et al. 2018,450.0,7.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,10.0,60.0,10.0,1.0,0.75,30.0,25.714
Zhang et al. 2018,640.0,7.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,10.0,60.0,10.0,1.0,0.75,30.0,25.714
Zhang et al. 2018,308.0,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Honda et al. 2002,160.7,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honda et al. 2002,163.8,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honda et al. 2002,221.4,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honda et al. 2002,309.7,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honda et al. 2002,288.8,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Honda et al. 2002,306.0,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Honda et al. 2002,449.2,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Honda et al. 2002,545.6,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Rainey et al. 2000,188.0,1.0,,Copper,pin_fin,FC-72,101.325,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
