dataset,form,model,R2_floored_rand,within_10pct_mean_rand,R2_floored_loso,within_10pct_mean_loso,optimism_gap
D8_Pioro_R134a,local,Linear,0.8342643415798546,0.3074074074074074,0.7041645832684497,0.3069304506273521,0.13009975831140497
D8_Pioro_R134a,local,Poly2_Ridge,0.8902458859503651,0.3703703703703704,0.4823572154896482,0.2189322831970258,0.4078886704607169
D8_Pioro_R134a,local,kNN_k5,0.8451099957861951,0.4111111111111111,0.6932593653433116,0.2632291632978789,0.1518506304428835
D8_Pioro_R134a,local,RandomForest,0.912152821994922,0.4842592592592593,0.8382919064912934,0.3944012159060885,0.07386091550362861
D8_Pioro_R134a,local,ExtraTrees,0.9095456677175284,0.587962962962963,0.8276145764363595,0.4676527731250369,0.08193109128116893
D8_Pioro_R134a,local,HistGB,0.8892691353618145,0.4009259259259258,0.7463748862164471,0.3105294714771226,0.1428942491453674
D8_Pioro_R134a,local,SVR_RBF,0.9367792197872908,0.7277777777777777,0.2175004047832388,0.1552139922610936,0.7192788150040521
D8_Pioro_R134a,local,MLP,0.2606118035136209,0.3777777777777778,-0.5697109504663671,0.2175147596124607,0.830322753979988
D8_Pioro_R134a,local,XGBoost,0.9053268317513836,0.5361111111111112,0.822840648457476,0.4213002295148721,0.08248618329390767
D8_Pioro_R134a,local,LightGBM,0.88882605014953,0.4203703703703703,0.709838142755573,0.2999043645657838,0.17898790739395698
D8_Pioro_R134a,local,CatBoost,0.9332754981741406,0.5944444444444443,0.7793728754019912,0.3958719536243274,0.1539026227721494
D8_Pioro_R134a,local,GPR_Matern,-0.0537744295432821,0.1398148148148148,-0.4817671701349115,0.1165929486925239,0.4279927405916294
D8_Pioro_R134a,reduced,Linear,0.2668314118188352,0.1388888888888889,0.0762133352900716,0.1263858696923414,0.19061807652876359
D8_Pioro_R134a,reduced,Poly2_Ridge,0.268724006874539,0.1342592592592592,-0.0598439759307382,0.1292233233200249,0.3285679828052772
D8_Pioro_R134a,reduced,kNN_k5,0.2006001849172769,0.1268518518518518,-0.8708743294111285,0.0949519084576555,1.0714745143284055
D8_Pioro_R134a,reduced,RandomForest,0.2323864622383306,0.1277777777777777,0.0202591264754082,0.117554798608022,0.2121273357629224
D8_Pioro_R134a,reduced,ExtraTrees,0.2329793029915682,0.1305555555555555,0.0558089168127963,0.1206459740723858,0.1771703861787719
D8_Pioro_R134a,reduced,HistGB,0.2462332377524891,0.137037037037037,0.0456548235304461,0.1336487891585342,0.20057841422204298
D8_Pioro_R134a,reduced,SVR_RBF,0.2532060947401088,0.1009259259259259,-0.0319007074991235,0.1356451289516007,0.2851068022392323
D8_Pioro_R134a,reduced,MLP,-0.4325798898095542,0.0944444444444444,-1.0,0.0934456853278692,0.5674201101904458
D8_Pioro_R134a,reduced,XGBoost,0.2320686385492759,0.1249999999999999,0.0464590755231266,0.1260455229751831,0.18560956302614928
D8_Pioro_R134a,reduced,LightGBM,0.2435560984784396,0.1314814814814814,0.0468867873402469,0.1216036047401614,0.1966693111381927
D8_Pioro_R134a,reduced,CatBoost,0.232980829241148,0.1305555555555555,-0.0439727593898332,0.1140262922059523,0.2769535886309812
D8_Pioro_R134a,reduced,GPR_Matern,0.2708533240676614,0.137037037037037,0.0576749778699546,0.1282238230701499,0.2131783461977068
D3_KAERI_uniform,local,Linear,0.590623664144988,0.2767175572519084,-1.0,0.1069468376761855,1.590623664144988
D3_KAERI_uniform,local,Poly2_Ridge,0.918928845796105,0.4675572519083969,-1.0,0.0940793108325717,1.918928845796105
D3_KAERI_uniform,local,kNN_k5,0.7069111809562276,0.5461832061068701,-1.0,0.2699856398598086,1.7069111809562276
D3_KAERI_uniform,local,RandomForest,0.9312548418909083,0.6687022900763357,-1.0,0.2033470597149945,1.9312548418909083
D3_KAERI_uniform,local,ExtraTrees,0.9573215159008932,0.7706106870229008,-1.0,0.320134385102128,1.9573215159008932
D3_KAERI_uniform,local,HistGB,0.835416022386082,0.6591603053435114,-1.0,0.2694863113798855,1.835416022386082
D3_KAERI_uniform,local,SVR_RBF,0.9504383871749,0.7916030534351146,-1.0,0.2363324860483428,1.9504383871749
D3_KAERI_uniform,local,MLP,0.8777934331872066,0.6152671755725192,-1.0,0.1450474882491186,1.8777934331872066
D3_KAERI_uniform,local,XGBoost,0.9532363058500553,0.7152671755725192,-1.0,0.2827980760949111,1.9532363058500553
D3_KAERI_uniform,local,LightGBM,0.9024521217753864,0.6767175572519084,-1.0,0.2601993644676829,1.9024521217753865
D3_KAERI_uniform,local,CatBoost,0.9520715605829692,0.6889312977099236,-1.0,0.2800891325651555,1.952071560582969
D3_KAERI_uniform,local,GPR_Matern,0.9641205720834278,0.8232824427480916,-1.0,0.1746512877144591,1.9641205720834278
D3_KAERI_uniform,inlet,Linear,0.7161688151482067,0.3202290076335878,-1.0,0.2171444529293634,1.7161688151482068
D3_KAERI_uniform,inlet,Poly2_Ridge,0.842204674626767,0.5183206106870228,-1.0,0.0552460202849908,1.842204674626767
D3_KAERI_uniform,inlet,kNN_k5,0.6937256000467802,0.6274809160305342,-1.0,0.2851936507936508,1.6937256000467802
D3_KAERI_uniform,inlet,RandomForest,0.9254395425580594,0.7461832061068703,-1.0,0.3242209239930467,1.9254395425580593
D3_KAERI_uniform,inlet,ExtraTrees,0.9438803017454196,0.8404580152671756,-1.0,0.3172896343548517,1.9438803017454196
D3_KAERI_uniform,inlet,HistGB,0.8584619891870835,0.7202290076335878,-1.0,0.2920246679543994,1.8584619891870835
D3_KAERI_uniform,inlet,SVR_RBF,0.936198095517622,0.8500000000000002,-1.0,0.2466908944841809,1.936198095517622
D3_KAERI_uniform,inlet,MLP,0.7294685160583303,0.5198473282442748,-1.0,0.0529777215880476,1.7294685160583303
D3_KAERI_uniform,inlet,XGBoost,0.933363003487021,0.817175572519084,-1.0,0.3026125374506768,1.9333630034870208
D3_KAERI_uniform,inlet,LightGBM,0.9236849035808616,0.7461832061068702,-1.0,0.264944756260645,1.9236849035808616
D3_KAERI_uniform,inlet,CatBoost,0.9349233289794144,0.7961832061068702,-1.0,0.2432081021147197,1.9349233289794143
D3_KAERI_uniform,inlet,GPR_Matern,0.1433267497319558,0.348854961832061,-1.0,0.1913218368624379,1.1433267497319557
D3_KAERI_uniform,reduced,Linear,0.1293408122850911,0.2919847328244275,-1.0,0.2173296046046046,1.1293408122850912
D3_KAERI_uniform,reduced,Poly2_Ridge,0.2349489980007204,0.2622137404580152,-1.0,0.1245174425201599,1.2349489980007204
D3_KAERI_uniform,reduced,kNN_k5,0.4723951308825532,0.3633587786259542,-1.0,0.2941929931392847,1.4723951308825531
D3_KAERI_uniform,reduced,RandomForest,0.795006072813566,0.433206106870229,-1.0,0.2709536851200854,1.795006072813566
D3_KAERI_uniform,reduced,ExtraTrees,0.811944808618161,0.4389312977099237,-1.0,0.3038170712912401,1.8119448086181609
D3_KAERI_uniform,reduced,HistGB,0.7402938352385368,0.3889312977099236,-1.0,0.2086605304610419,1.7402938352385369
D3_KAERI_uniform,reduced,SVR_RBF,0.7838772496623472,0.3729007633587787,-1.0,0.2216339652540739,1.7838772496623472
D3_KAERI_uniform,reduced,MLP,0.5716613647505924,0.2950381679389313,-1.0,0.305987902928504,1.5716613647505924
