held_out,arm,mean_w_physics,frac_flagged_unseen,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac
D5_Helical_R123,ROUTER_v2_identity,0.5010336066858717,0.5175097276264592,257,28326,-155.71093962381747,0.01556420233463035,0.05058365758754864,418.1955513060756,990.4978221685216,0.07392996108949416
D5_Helical_R123,oracle_upper_bound,0.5010336066858717,0.5175097276264592,257,28326,0.10257312877432556,0.11673151750972763,0.2801556420233463,31.322145892275387,74.9554821863069,0.6731517509727627
D6_Hardik_helical_water,global_model_no_routing,0.6134971174020845,1.0,156,28427,-2.198201141241596,0.07051282051282051,0.1282051282051282,53.61058710851473,1102.7672896128543,0.9166666666666666
D6_Hardik_helical_water,pure_physics_Katto,0.6134971174020845,1.0,156,28427,-0.16125883046873413,0.38461538461538464,0.5705128205128205,32.043628643787365,664.500792648689,0.3333333333333333
D6_Hardik_helical_water,ROUTER_v1_dimensionless,0.6134971174020845,1.0,156,28427,-0.032869634032408834,0.09615384615384616,0.30128205128205127,31.99043112085099,626.6914120745372,0.8205128205128205
D6_Hardik_helical_water,ROUTER_v2_identity,0.6134971174020845,1.0,156,28427,-2.1971708461590302,0.07051282051282051,0.1282051282051282,53.5526050372375,1102.589647997375,0.9166666666666666
D6_Hardik_helical_water,oracle_upper_bound,0.6134971174020845,1.0,156,28427,0.4322042260590292,0.4423076923076923,0.6602564102564102,20.422885094672658,464.6512036229804,0.4166666666666667
D7_Hardik_straight_R123,global_model_no_routing,0.3288136647777162,0.0,55,28528,-29.80874615213852,0.2,0.34545454545454546,178.0094105807363,414.3770436246517,0.38181818181818183
D7_Hardik_straight_R123,pure_physics_Katto,0.3288136647777162,0.0,55,28528,0.636181943386427,0.2,0.5272727272727272,28.161430281341765,45.029881131145565,0.05454545454545454
D7_Hardik_straight_R123,ROUTER_v1_dimensionless,0.3288136647777162,0.0,55,28528,-4.674960929640341,0.18181818181818182,0.36363636363636365,85.50519979990099,177.84436684758867,0.3090909090909091
D7_Hardik_straight_R123,ROUTER_v2_identity,0.3288136647777162,0.0,55,28528,-29.80874615213852,0.2,0.34545454545454546,178.0094105807363,414.3770436246517,0.38181818181818183
D7_Hardik_straight_R123,oracle_upper_bound,0.3288136647777162,0.0,55,28528,0.8578008621941171,0.36363636363636365,0.7090909090909091,17.33163196751857,28.151864095664997,0.2
D8_Pioro_R134a,global_model_no_routing,0.4525472728026691,0.0,268,28315,-1276.437756203303,0.0,0.0,3231.7510781500523,3355.0999764374515,0.0
D8_Pioro_R134a,pure_physics_Katto,0.4525472728026691,0.0,268,28315,-0.09740839667462398,0.11194029850746269,0.2126865671641791,80.75581443288006,98.33762864334149,0.6119402985074627
D8_Pioro_R134a,ROUTER_v1_dimensionless,0.4525472728026691,0.0,268,28315,-42.464486522797834,0.0,0.0,669.676815868747,618.8748991707116,0.0
D8_Pioro_R134a,ROUTER_v2_identity,0.4525472728026691,0.0,268,28315,-0.0974083966746242,0.11194029850746269,0.2126865671641791,80.75581443288004,98.3376286433415,0.6119402985074627
D8_Pioro_R134a,oracle_upper_bound,0.4525472728026691,0.0,268,28315,-0.09740839667462398,0.11194029850746269,0.2126865671641791,80.75581443288006,98.33762864334149,0.6119402985074627
