dataset,n,fluid,model,split,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,n_seeds,R2_sd
D5_Helical_R123,257,R-123,BOUND_Katto_x2.0,LOSO,128.5,128.5,-0.871416065450777,0.057722832722832726,0.17826617826617824,41.4081414008333,84.50647585027885,0.48647741147741147,2.0,1.4950035937110886
D5_Helical_R123,257,R-123,BOUND_Katto_x3.0,LOSO,128.5,128.5,-0.871416065450777,0.057722832722832726,0.17826617826617824,41.4081414008333,84.50647585027885,0.48647741147741147,2.0,1.4950035937110886
D5_Helical_R123,257,R-123,BOUND_Katto_unbounded,LOSO,128.5,128.5,-0.871416065450777,0.057722832722832726,0.17826617826617824,41.4081414008333,84.50647585027885,0.48647741147741147,2.0,1.4950035937110886
D8_Pioro_R134a,268,R-134a,PHYS_KattoOhno,all_rows_no_fitting,268.0,0.0,-0.09740839667462398,0.11194029850746269,0.2126865671641791,80.75581443288006,98.33762864334149,0.6119402985074627,,
D8_Pioro_R134a,268,R-134a,PIML_dimensionless,80/20,54.0,214.0,0.6998277112935731,0.14814814814814814,0.36296296296296293,39.600908016095715,48.16914138547618,0.537037037037037,10.0,0.06723975780356727
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x1.5,80/20,54.0,214.0,0.06952665862613114,0.1259259259259259,0.23888888888888887,77.4855343935262,86.20039737783115,0.5574074074074072,10.0,0.06521880476615745
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x2.0,80/20,54.0,214.0,0.09299541325490741,0.12037037037037038,0.24999999999999994,77.73110664875814,85.07838614434355,0.5444444444444445,10.0,0.06533318351101919
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x3.0,80/20,54.0,214.0,0.09299541325490741,0.12037037037037038,0.24999999999999994,77.73110664875814,85.07838614434355,0.5444444444444445,10.0,0.06533318351101919
D8_Pioro_R134a,268,R-134a,BOUND_Katto_unbounded,80/20,54.0,214.0,0.09299541325490741,0.12037037037037038,0.24999999999999994,77.73110664875814,85.07838614434355,0.5444444444444445,10.0,0.06533318351101919
D8_Pioro_R134a,268,R-134a,PIML_dimensionless,70/30,81.0,187.0,0.7019465361940617,0.16419753086419753,0.37407407407407406,39.900984327774495,48.712561389078594,0.5395061728395061,10.0,0.06666047220079936
D8_Pioro_R134a,268,R-134a,BOUND_Katto_x1.5,70/30,81.0,187.0,0.04035208808405479,0.13333333333333336,0.254320987654321,74.16094467583062,88.51947669381903,0.5827160493827159,10.0,0.05636435151982276
