dataset,n,fluid,geometry,form,model,split,n_seeds,n_test_mean,n_train_mean,R2_mean,within_10pct_mean,within_20pct_mean,MAPE_pct_mean,RMSE_mean,safe_side_frac_mean,R2_sd,within_10pct_sd,MAPE_pct_sd
D6_Hardik_helical_water,156,water,helical_coil,local,RandomForest,LOSO,6,26.0,130.0,0.5029124918541241,0.40128411976564776,0.739399732619149,22.22255232369135,277.2040834637941,0.4673550364921392,0.32832994337882093,0.12861527544954332,16.69757640223062
D6_Hardik_helical_water,156,water,helical_coil,local,ExtraTrees,80/20,20,32.0,124.0,0.9503327958874136,0.8484375,0.9390625,6.722882888137041,127.19869923097788,0.478125,0.02173893816468601,0.05759984894671349,2.3904319922531534
D6_Hardik_helical_water,156,water,helical_coil,local,ExtraTrees,70/30,20,47.0,109.0,0.950744642925143,0.8542553191489362,0.9468085106382981,6.798229051709451,130.2495250820463,0.474468085106383,0.019740878760109937,0.04270688928291548,1.6439303887380727
D6_Hardik_helical_water,156,water,helical_coil,local,ExtraTrees,LOSO,6,26.0,130.0,0.7644503571068881,0.5214787211331835,0.8070082047846941,13.196889354692289,186.46130323135864,0.44189823430942404,0.18940445339349848,0.18522977114317057,6.817071468210633
D6_Hardik_helical_water,156,water,helical_coil,local,HistGB,80/20,20,32.0,124.0,0.9138342866745643,0.65625,0.8875,10.587423259963176,167.36986805486055,0.51875,0.04324334385152878,0.08543137442908258,3.8590495701772376
D6_Hardik_helical_water,156,water,helical_coil,local,HistGB,70/30,20,47.0,109.0,0.9069372737578709,0.6478723404255319,0.8723404255319149,11.46494672033987,179.48073884058914,0.5308510638297872,0.037476031500730145,0.06919414492520405,3.46601255701402
D6_Hardik_helical_water,156,water,helical_coil,local,HistGB,LOSO,6,26.0,130.0,0.6471367487539157,0.4960636349531813,0.7846517144081814,17.669499484806682,222.94921642150896,0.5056393700572812,0.27689138447069156,0.24330947132536085,13.98821415357513
D6_Hardik_helical_water,156,water,helical_coil,local,SVR_RBF,80/20,20,32.0,124.0,0.9487995848124043,0.8859375,0.9484375,7.09787734742428,126.8597306903461,0.51875,0.029259304984356464,0.04676522233173753,3.0508400897513015
D6_Hardik_helical_water,156,water,helical_coil,local,SVR_RBF,70/30,20,47.0,109.0,0.9521175058809211,0.8861702127659574,0.9531914893617023,7.209141241608937,128.15677026041763,0.5414893617021277,0.020040627489923624,0.0333031400904224,2.416653259528746
D6_Hardik_helical_water,156,water,helical_coil,local,SVR_RBF,LOSO,6,26.0,130.0,0.6882476963436025,0.6117027253100432,0.7963276131808543,17.23220267518141,207.62347341003328,0.43221065888095445,0.2621615048640121,0.21644580369730937,12.156644714285795
D6_Hardik_helical_water,156,water,helical_coil,local,MLP,80/20,20,32.0,124.0,-45.318228517626466,0.528125,0.6875,59.94261873781509,1795.305838040475,0.540625,137.7851125526348,0.26339524658021574,122.92805055858605
D6_Hardik_helical_water,156,water,helical_coil,local,MLP,70/30,20,47.0,109.0,-99.97940625868759,0.4946808510638297,0.6670212765957446,70.52280040385901,2634.8550240428376,0.5127659574468084,298.1047469100874,0.2413967243918029,122.3457904166665
D6_Hardik_helical_water,156,water,helical_coil,local,MLP,LOSO,6,26.0,130.0,-45716.184778398725,0.13963242583695568,0.23490741318469524,4775.117209896672,45637.10597643792,0.5722287087219755,111783.52394551583,0.18827076364288442,11533.365812545439
D6_Hardik_helical_water,156,water,helical_coil,local,XGBoost,80/20,20,32.0,124.0,0.9411594610460801,0.80625,0.928125,7.579377001887886,138.8699073473361,0.51875,0.023554417907973402,0.07068159702422362,2.8418285139137165
D6_Hardik_helical_water,156,water,helical_coil,local,XGBoost,70/30,20,47.0,109.0,0.9385791311284357,0.7978723404255319,0.9382978723404257,7.826451233673646,145.64172241762077,0.5212765957446809,0.02372137947946724,0.06231880885991726,1.786037393885573
D6_Hardik_helical_water,156,water,helical_coil,local,XGBoost,LOSO,6,26.0,130.0,0.5835281596103816,0.4319130887126059,0.7032603665860476,19.586072339837568,248.84281927315854,0.47587111739361293,0.2588846721005864,0.14874184740452676,11.285082924125996
D6_Hardik_helical_water,156,water,helical_coil,local,LightGBM,80/20,20,32.0,124.0,0.9157208247963255,0.6984375,0.9015625,10.11297148237895,165.48238289890634,0.51875,0.04251966180248565,0.07936515687000184,3.4055744698746118
D6_Hardik_helical_water,156,water,helical_coil,local,LightGBM,70/30,20,47.0,109.0,0.9126031343006977,0.6776595744680851,0.8936170212765958,11.00802021831024,174.95429075472052,0.5074468085106384,0.029109171828299717,0.04593245141683126,3.5323136703736426
D6_Hardik_helical_water,156,water,helical_coil,local,LightGBM,LOSO,6,26.0,130.0,0.6497804570706621,0.48793799910288677,0.7348595812255198,16.899777748064967,229.4907269614034,0.5145209142203439,0.25906800779435263,0.2547663057105642,12.771274674964683
D6_Hardik_helical_water,156,water,helical_coil,local,CatBoost,80/20,20,32.0,124.0,0.9458165602324179,0.8609375,0.9390625,7.65056457902962,132.59919278156403,0.5078125,0.023395275164803105,0.062066754968891524,4.061184203141042
D6_Hardik_helical_water,156,water,helical_coil,local,CatBoost,70/30,20,47.0,109.0,0.9469046787400426,0.8563829787234042,0.9521276595744682,7.870112974960928,136.25777769291523,0.5127659574468085,0.017956831725879682,0.037730650814852065,3.2918042162664545
D6_Hardik_helical_water,156,water,helical_coil,local,CatBoost,LOSO,6,26.0,130.0,0.5884451015696267,0.486574778305543,0.6976261164011147,21.242538600058904,250.19436840081474,0.4410422793082012,0.2691608968638238,0.17334115220653493,13.872309987587219
D6_Hardik_helical_water,156,water,helical_coil,local,GPR_Matern,80/20,20,32.0,124.0,0.9750101165487418,0.9390625,0.95625,4.340661686007774,87.70857059566109,0.5203125,0.016362617409843884,0.038574251280382686,2.080384253643122
D6_Hardik_helical_water,156,water,helical_coil,local,GPR_Matern,70/30,20,47.0,109.0,0.974089084465698,0.9351063829787234,0.9638297872340427,4.989254509958342,92.18237564819256,0.5074468085106383,0.017952427189261693,0.03551880319466989,2.7717910740447964
