dataset,study,boiling_mode,fluid,D_m,L_m,P_kPa,G_kg_m2s,X,dHin_kJkg,Ra_um,CA_deg,orient_deg,CHF_kW_m2,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,2.2,,0.0,288.8,0,50.0,60.0,50.0,1.0,0.75
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,2.2,,0.0,306.0,3,50.0,60.0,50.0,1.0,0.75
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,2.2,,0.0,449.2,25,50.0,60.0,50.0,1.0,0.75
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,2.2,,0.0,545.6,45,50.0,60.0,50.0,1.0,0.75
PinFin,Rainey et al. 2000,pool,FC-72,,,101.325,,,,1.0,,0.0,188.0,0,0.0,0.0,0.0,0.0,0.0
PinFin,Rainey et al. 2000,pool,FC-72,,,101.325,,,,2.0,,0.0,361.0,0,1000.0,1000.0,1000.0,1.0,0.75
PinFin,Rainey et al. 2000,pool,FC-72,,,101.325,,,,3.0,,0.0,523.0,0,1000.0,2000.0,1000.0,1.0,0.75
PinFin,Rainey et al. 2000,pool,FC-72,,,101.325,,,,5.0,,0.0,814.0,0,1000.0,4000.0,1000.0,1.0,0.75
PinFin,Rainey et al. 2000,pool,FC-72,,,101.325,,,,9.0,,0.0,917.0,0,1000.0,8000.0,1000.0,1.0,0.75
PinFin,Lee et al. 2011,pool,FC-72,,,101.325,,,,1.0,,0.0,154.8,0,0.0,0.0,0.0,0.0,0.0
PinFin,Lee et al. 2011,pool,FC-72,,,101.325,,,,3.5,,0.0,330.0,0,200.0,500.0,200.0,1.0,0.75
PinFin,Lee et al. 2011,pool,FC-72,,,101.325,,,,2.0,,0.0,285.0,0,400.0,400.0,400.0,1.0,0.75
PinFin,Lee et al. 2011,pool,FC-72,,,101.325,,,,5.0,,0.0,351.0,0,200.0,800.0,200.0,1.0,0.75
PinFin,Lee et al. 2011,pool,FC-72,,,101.325,,,,5.0,,0.0,499.0,0,400.0,1600.0,400.0,1.0,0.75
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.0,,0.0,181.0,0,0.0,0.0,0.0,0.0,0.0
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,2.778,,0.0,701.0,0,1000.0,4000.0,2000.0,1.0,0.889
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.889,,0.0,445.0,0,1000.0,2000.0,2000.0,1.0,0.889
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.444,,0.0,345.0,0,1000.0,1000.0,2000.0,1.0,0.889
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.222,,0.0,297.0,0,1000.0,500.0,2000.0,1.0,0.889
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,5.0,,0.0,803.0,0,1000.0,4000.0,1000.0,1.0,0.75
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,3.0,,0.0,504.0,0,1000.0,2000.0,1000.0,1.0,0.75
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,2.0,,0.0,378.0,0,1000.0,1000.0,1000.0,1.0,0.75
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.5,,0.0,301.0,0,1000.0,500.0,1000.0,1.0,0.75
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,8.111,,0.0,983.0,0,1000.0,4000.0,500.0,1.0,0.556
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,4.556,,0.0,693.0,0,1000.0,2000.0,500.0,1.0,0.556
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,2.778,,0.0,489.0,0,1000.0,1000.0,500.0,1.0,0.556
PinFin,Yu et al. 2007,pool,FC-72,,,101.325,,,,1.889,,0.0,371.0,0,1000.0,500.0,500.0,1.0,0.556
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,182.5,15,0.0,0.0,0.0,0.0,0.0
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,205.2,25,0.0,0.0,0.0,0.0,0.0
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,225.1,35,0.0,0.0,0.0,0.0,0.0
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,310.5,15,30.0,60.0,30.0,1.0,0.75
PinFin,Kong et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,380.1,25,30.0,60.0,30.0,1.0,0.75
