Angle,L_effective_mm,Width_mm,Pnet,CHF_MW_m2,Tsat_Tpool,Surface_tension,rho_l,Cp,Kl,l_w,mu_l,alpha,Ja,R,orientation,geometry_group
180,50,10,2510.3033734501596,5.020606746900319,78.99470119767,0.07221894023953401,998.1818021155439,4184.054650101829,0.5996278951730023,5.0,0.0009324286785028627,0.1536982268925034,0.146364815719684,3.6811658312974376,Down,down|180|50|10
0,50,10,1001.6060602869414,2.003212120573883,6.514079251530006,0.057722815850306,965.487702792897,4293.778036015622,0.6769710829137234,5.0,0.0002327159577390648,0.6774922994395329,0.012386083665093982,4.049499818078774,up,up|0|50|10
180,50,10,936.8511913746764,1.8737023827493529,2.3303154506600094,0.05688606309013201,962.6382801025883,4312.665420600285,0.6782280694234641,5.0,0.00022119389096135478,0.7109791499188678,0.00445042885172677,4.073146177962674,Down,down|180|50|10
90,50,10,1326.0155033017636,2.652031006603527,4.210092678815002,0.057262018535763,963.931526938437,4303.933469476065,0.677706611548449,5.0,0.00022598100069789865,0.6967937486638156,0.00802414165206425,4.0624807520777155,Ver,ver|90|50|10
0,50,20,1626.9993172855072,1.6269993172855073,2.7593115092050056,0.05697186230184101,962.935287423899,4310.6367816384645,0.6781152879600002,2.5,0.00022223037393545803,0.7078784450005313,0.005267245295216855,8.141412349561413,up,up|0|50|20
180,50,20,1452.2490167666688,1.4522490167666688,5.241960034285,0.05746839200685701,964.632416485257,4299.311644764869,0.6773903230227212,2.5,0.00022887919079722348,0.6883887302532078,0.009980079794514745,8.113309552089463,Down,down|180|50|20
180,100,10,1048.995409678541,1.048995409678541,3.822337516385005,0.057184467503277006,963.6664952343266,4305.701474091997,0.6778199618056348,10.0,0.0002249414606251064,0.6998434915892565,0.007288100117190888,4.064675250473739,down,down|180|100|10
0,100,10,1265.9610872128717,1.2659610872128717,2.607016929804999,0.056941403385961,962.8299755677132,4311.354509530739,0.6781557470381584,10.0,0.00022185862750306396,0.708988824360944,0.004977359018160282,4.0715719744259635,up,up|0|100|10
0,100,10,1216.4605624834444,1.2164605624834444,2.7561070857450005,0.056971221417149005,962.9330729950689,4310.651855661538,0.6781161440351411,10.0,0.00022222250903801682,0.7079019164220802,0.005261146774267562,4.070724387424679,up,up|0|100|10
0,100,20,2409.7514340810217,1.2048757170405109,2.6962697924450083,0.056959253958489005,962.8917108927532,4310.933556346186,0.6781320920960651,5.0,0.00022207598462503577,0.7083393555375118,0.005147259412969215,8.1421290294293,up,up|0|100|20
0,100,20,2624.5693409123305,1.3122846704561653,2.7304669668950083,0.056966093393379005,962.915352076203,4310.77251289691,0.6781229865044451,5.0,0.00022215964480833779,0.7080895557904052,0.005212348113607784,8.141740245192926,up,up|0|100|20
90,100,10,1529.2098128582795,1.5292098128582796,0.955253117929999,0.056611050623586005,961.6788395806893,4319.312573941825,0.6785647612538056,10.0,0.0002180949113716451,0.7203293924364391,0.0018271511628304598,4.080991231134657,Ver,ver|90|100|10
90,200,10,2468.811645321585,1.2344058226607924,2.61893608911501,0.056943787217823005,962.8382226979412,4311.298240473499,0.6781525972867188,20.0,0.00022188757122398525,0.7089023012157105,0.005000050012164593,4.071504197471825,Ver,ver|90|200|10
