TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
51,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,51380.4,1763.2,0.1778,309.6,1392653.19,788800,1.696,outlet,water,Swenson,yes,-0.157,0.0,0.389,0.046
52,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,58363.2,1763.2,0.1778,300.6,1341653.99,896000,1.638,outlet,water,Swenson,yes,-0.204,0.0,0.389,0.046
53,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,32881.4,678.1,0.0684,327.2,1502188.66,504800,1.753,outlet,water,Swenson,yes,-0.056,0.0,0.389,0.046
54,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,34320.9,678.1,0.0684,320.9,1461040.35,526900,1.753,outlet,water,Swenson,yes,-0.094,0.0,0.389,0.046
55,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,39049.9,678.1,0.0684,303.1,1355572.52,599500,1.753,outlet,water,Swenson,yes,-0.192,0.0,0.389,0.046
56,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,52403.1,678.1,0.0684,246.4,1068203.82,804500,1.619,outlet,water,Swenson,yes,-0.457,0.0,0.389,0.046
57,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,55282.2,678.1,0.0684,232.9,1005314.91,848700,1.581,outlet,water,Swenson,yes,-0.516,0.0,0.389,0.046
58,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,46439.8,1363.1,0.135,328.9,1513796.52,719300,1.753,spike,water,Swenson,no,-0.045,0.009,0.376,0.067
59,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,48273.4,1363.1,0.135,314.4,1421004.37,747700,1.791,spike,water,Swenson,no,-0.131,0.009,0.376,0.067
60,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,60088.4,1363.1,0.135,307.5,1380521.44,930700,1.372,spike,water,Swenson,no,-0.168,0.009,0.376,0.067
61,0.01123,0.0353,9.9049e-05,1.83,1.379e+07,65795.7,1363.1,0.135,300.4,1340547.97,1019100,1.41,spike,water,Swenson,no,-0.205,0.009,0.376,0.067
62,0.00973,0.0306,7.4356e-05,1.73,6.828e+06,91211.1,1912.4,0.1422,275.7,1213165.87,1724800,1.626,middle(1),water,Lee(1963),no,-0.03,0.0,0.612,0.097
63,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,92628.3,1898.8,0.1412,276,1214691.86,1751600,1.626,middle(1),water,Lee(1963),no,-0.031,0.0,0.612,0.097
64,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,90925.5,1912.4,0.1422,275.6,1212632.29,1719400,1.778,middle(1),water,Lee(1963),no,-0.031,0.0,0.612,0.097
