dataset,n,model,split,split_warning,R2,median_fold_R2,worst_fold_R2,RMSE_log,MAE_log,MAPE_pct,n_groups,seconds
pin_fin,175,Linear,II_condition_wise,,-19.3529507014474,0.9078058290455027,-27.82632983942165,2.791076906550508,1.2330882687156348,1765.6452058109035,6.0,0.0
pin_fin,175,Linear,III_surface_wise,,0.9424208269135409,0.9401090591115371,0.9097528206139288,0.14845363115126828,0.11448628131386669,11.72453097206724,67.0,0.0
pin_fin,175,Linear,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.6582400951484233,0.872527508524559,-5.861263784951373,0.3616751482187565,0.17338512073139636,15.849937799568147,16.0,0.0
pin_fin,175,Poly2_Ridge,I_random,,0.9514568292407797,0.9574557653083856,0.9104895341899681,0.13630826289922843,0.09222177469439953,9.19512624505449,,0.0
pin_fin,175,Poly2_Ridge,II_condition_wise,,-7758.801799002731,0.9246716964536453,-10996.462400174914,54.49835924484989,14.890972114963622,2.971853770064973e+26,6.0,0.0
pin_fin,175,Poly2_Ridge,III_surface_wise,,0.9348794451504581,0.9546934974789669,0.8537660842305008,0.15787637979122085,0.10223619331802634,9.884270130946128,67.0,0.0
pin_fin,175,Poly2_Ridge,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.7337246292294228,0.8693200375939987,-4.346141326344977,0.3192446383479533,0.14810911949651057,12.737295229765625,16.0,0.0
pin_fin,175,KNN_k5,I_random,,0.8998023231424876,0.9281603745085379,0.7856059341983572,0.19583347897046235,0.1271358930233269,12.583379615597531,,0.0
pin_fin,175,KNN_k5,II_condition_wise,,-0.0399306142589122,0.8394246286608643,-0.4204739853541546,0.6308996620988891,0.3781223712764296,27.251749694254652,6.0,0.0
pin_fin,175,KNN_k5,III_surface_wise,,0.89080508383956,0.8891198348122441,0.8019446304202767,0.2044369168482897,0.13729678817318858,13.12953702104545,67.0,0.0
pin_fin,175,KNN_k5,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9124678227632201,0.8084035628732659,-3.55951686913732,0.18303830212521402,0.13351631019687252,13.99270885872921,16.0,0.0
pin_fin,175,SVR_RBF,I_random,,0.955069295822145,0.9630919876500803,0.9105747714104281,0.13113835320638134,0.08265190635991981,8.283449413177852,,0.0
pin_fin,175,SVR_RBF,II_condition_wise,,-0.24172719410152022,0.9428177662082492,-0.748740852755335,0.6893998891616807,0.3606375654028111,21.890610667691085,6.0,0.0
pin_fin,175,SVR_RBF,III_surface_wise,,0.9437231758050604,0.9306012960711874,0.9076784525033824,0.1467651368182431,0.10239094058791198,10.518441988426778,67.0,0.0
pin_fin,175,SVR_RBF,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.9036584193592406,0.840585792370051,-3.3016185292592537,0.19202819368349755,0.1273311075450599,13.895976524828452,16.0,0.0
pin_fin,175,ANN_MLP,I_random,,0.7328135389012823,0.7852095476834249,0.5518621316243598,0.31979033719212524,0.2225317968532454,22.52971192358298,,0.5
